Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.012+0.262j),4.194448718848093e-06j,(0.999+0j),(0.398+8.371j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.5,0.7,-1.4,12.5,0.21,495,1224,1977.15,87.3,1403.68,43.6
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.008+0.241j),4.547632798356005e-06j,(0.999+0j),(0.265+7.721j),(-0+0j),(0.999+0j),132.0,699.8,131.9,-2.3,0.7,-1.6,16.0,0.14,495,1224,2175.49,88.0,1542.79,44.0
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.008+0.226j),4.851638073011554e-06j,(0.999+0j),(0.265+7.237j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.2,0.7,-1.7,16.2,0.14,495,1224,2315.01,87.9,1642.05,44.0
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.006+0.217j),5.066635213222634e-06j,(0.999+0j),(0.199+6.93j),(-0+0j),(0.999+0j),132.0,699.8,131.9,-2.1,0.7,-1.8,19.6,0.11,495,1224,2438.79,88.4,1728.7,44.2
Tower Type C,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.428j),2.5623726138854928e-06j,(0.999+0.001j),(19.496+13.709j),(-0+0j),(0.999+0.001j),132.0,699.8,118.7,-4.6,0.7,-0.8,5.7,10.34,110,308,173.92,35.1,143.31,17.6
Tower Type C,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.296j),3.7136339245681814e-06j,(0.999+0.001j),(9.748+9.457j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-3.0,0.7,-1.3,6.6,5.17,110,308,388.2,44.1,299.01,22.1
Tower Type C,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.286j),3.830784645977888e-06j,(0.999+0.001j),(9.748+9.168j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-2.9,0.7,-1.3,6.7,5.17,110,308,381.47,43.2,294.53,21.6
Tower Type C,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.253j),4.337003305287532e-06j,(0.999+0j),(6.499+8.097j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.5,0.7,-1.5,7.5,3.45,110,308,640.97,51.3,481.53,25.6
Tower Type C,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.238j),4.612646489574854e-06j,(0.999+0j),(6.499+7.613j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.4,0.7,-1.6,7.7,3.45,110,308,627.03,49.5,472.5,24.8
Tower Type C,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.222j),4.94872487796618e-06j,(0.999+0j),(4.874+7.096j),(-0+0j),(0.999+0j),132.0,699.8,128.6,-2.2,0.7,-1.7,8.4,2.58,110,308,884.2,55.5,657.26,27.8
Tower Type C,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.391j),2.806937020325698e-06j,(0.999+0j),(5.944+12.51j),(-0+0j),(0.999+0j),132.0,699.8,128.1,-3.9,0.7,-1.0,6.0,3.15,216,636,712.37,64.6,523.58,32.3
Tower Type C,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.277j),3.963904982018061e-06j,(0.999+0j),(2.972+8.858j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.7,0.7,-1.4,7.1,1.58,216,636,1261.23,71.5,915.62,35.7
Tower Type C,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.268j),4.0976622956807475e-06j,(0.999+0j),(2.972+8.569j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.6,0.7,-1.4,7.2,1.58,216,636,1281.35,70.9,930.92,35.4
Tower Type C,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.241j),4.561219929670155e-06j,(0.999+0j),(1.981+7.698j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.4,0.7,-1.6,8.2,1.05,216,636,1634.32,75.6,1179.43,37.8
Tower Type C,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.225j),4.867105587550069e-06j,(0.999+0j),(1.981+7.215j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.2,0.7,-1.7,8.4,1.05,216,636,1700.8,74.6,1228.86,37.3
Tower Type C,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.212j),5.166050151517751e-06j,(0.999+0j),(1.486+6.797j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.1,0.7,-1.8,9.3,0.79,216,636,1958.28,77.7,1409.04,38.8
Tower Type C,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.375j),2.926068337133677e-06j,(0.999+0j),(3.581+12j),(-0+0j),(0.999+0j),132.0,699.8,129.7,-3.7,0.7,-1.0,6.2,1.9,299,875,982.95,73.4,712.09,36.7
Tower Type C,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.269j),4.081230692578939e-06j,(0.999+0j),(1.79+8.604j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.6,0.7,-1.4,7.5,0.95,299,875,1568.13,78.2,1127.62,39.1
Tower Type C,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.26j),4.2231649829701965e-06j,(0.999+0j),(1.79+8.315j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.5,0.7,-1.5,7.6,0.95,299,875,1606.58,77.8,1155.87,38.9
Tower Type C,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.235j),4.664077031277323e-06j,(0.999+0j),(1.194+7.529j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.3,0.7,-1.6,8.9,0.63,299,875,1918.33,81.0,1374.11,40.5
Tower Type C,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.22j),4.984398308843734e-06j,(0.999+0j),(1.194+7.045j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.1,0.7,-1.7,9.1,0.63,299,875,2021.14,80.4,1448.93,40.2
Tower Type C,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.208j),5.264673299753775e-06j,(0.999+0j),(0.895+6.67j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.0,0.7,-1.8,10.2,0.47,299,875,2235.86,82.4,1598.48,41.2
Tower Type C,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.361j),3.0407002874460686e-06j,(0.999+0j),(2.283+11.548j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-3.5,0.7,-1.0,6.5,1.21,405,997,1183.32,78.8,850.41,39.4
Tower Type C,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.262j),4.191427941951168e-06j,(0.999+0j),(1.142+8.377j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.6,0.7,-1.4,8.2,0.61,405,997,1774.11,82.2,1268.63,41.1
Tower Type C,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.253j),4.341271147404662e-06j,(0.999+0j),(1.142+8.088j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.5,0.7,-1.5,8.2,0.61,405,997,1826.23,82.0,1306.39,41.0
Tower Type C,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.231j),4.759410462059674e-06j,(0.999+0j),(0.761+7.378j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.2,0.7,-1.6,9.8,0.4,405,997,2101.04,84.1,1498.42,42.1
Tower Type C,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.215j),5.093429148383911e-06j,(0.999+0j),(0.761+6.894j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.1,0.7,-1.8,10.0,0.4,405,997,2228.84,83.7,1590.48,41.9
Tower Type C,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.205j),5.355488411203889e-06j,(0.999+0j),(0.571+6.557j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.0,0.7,-1.8,11.5,0.3,405,997,2411.35,85.0,1717.49,42.5
Tower Type C,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.35j),3.139297057569788e-06j,(0.999+0j),(1.591+11.185j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.4,0.7,-1.1,6.9,0.84,495,1224,1316.97,81.9,942.27,41.0
Tower Type C,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.256j),4.284165336836702e-06j,(0.999+0j),(0.796+8.196j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.5,0.7,-1.5,8.9,0.42,495,1224,1904.92,84.5,1357.9,42.2
Tower Type C,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.247j),4.440836529136301e-06j,(0.999+0j),(0.796+7.907j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,0.7,-1.5,9.0,0.42,495,1224,1966.16,84.3,1401.96,42.1
Tower Type C,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.227j),4.838700255411803e-06j,(0.999+0j),(0.53+7.257j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.2,0.7,-1.7,11.0,0.28,495,1224,2214.69,85.8,1575.64,42.9
Tower Type C,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.212j),5.184344991107786e-06j,(0.999+0j),(0.53+6.773j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,0.7,-1.8,11.2,0.28,495,1224,2358.54,85.5,1678.69,42.8
Tower Type C,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.202j),5.430588885394342e-06j,(0.999+0j),(0.398+6.466j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.0,0.7,-1.9,13.0,0.21,495,1224,2519.57,86.5,1790.84,43.2
